,Data,transitivity,grauMedio,average_path_length,modularity,global_average_link_distance,eccentricity,eigenvector,coreness,pagerank,links,oni,flag
0,1950-01-01,0.5634516054065806,22.23637316561845,55.40758624275307,0.8509882611732242,7.275677807170663e-05,37.72078092243185,0.009028929258732254,13.479690775681341,0.00013102725366876308,84854,-1.62,0
1,1950-02-01,0.5598111954862175,21.96174004192872,54.28540146571953,0.8533547020395844,7.099121330284388e-05,35.50851677148847,0.01413876058984119,13.353249475890985,0.00013102725366876308,83806,-1.32,0
2,1950-03-01,0.560227507286566,22.205188679245282,63.95599970549346,0.8503472824131207,7.251769089371366e-05,30.08778825995807,0.014599265734572524,13.490566037735848,0.00013102725366876314,84735,-1.07,0
3,1950-04-01,0.5594063118616232,22.20466457023061,61.00888550563504,0.8473098318891157,7.367075919224326e-05,31.485718029350103,0.009107922924782285,13.500131027253671,0.00013102725366876308,84733,-1.11,0
4,1950-05-01,0.5588222618476838,22.194444444444446,62.64704616390114,0.8555272880095655,7.52033125445598e-05,30.552017819706503,0.009114729888037429,13.503799790356394,0.00013102725366876308,84694,-1.37,0
5,1950-06-01,0.5594776429933604,22.616090146750523,27.04795683336232,0.851222066043728,7.762799663749845e-05,25.86569706498952,0.009299630293384131,13.713836477987421,0.00013102725366876308,86303,-0.74,0
6,1950-07-01,0.5606753462965582,23.666142557651987,27.571697955239948,0.8467323941878077,8.914719978424247e-05,28.18094863731656,0.011506977595452984,14.301493710691824,0.00013102725366876308,90310,-0.44,0
7,1950-08-01,0.5579906741179301,25.67898322851153,24.83311993971407,0.8413736724288726,0.00013294798540710375,26.266247379454928,0.01827757533198525,15.455319706498955,0.00013102725366876308,97991,-0.42,0
8,1950-09-01,0.6034752155696506,28.714622641509433,15.859288405425625,0.8076332286051779,0.00021535830723964672,24.54088050314465,0.025098002960331545,17.49868972746331,0.00013102725366876308,109575,-0.41,0
9,1950-10-01,0.642495497533104,31.14832285115304,12.413792411895974,0.7888946213710301,0.00029877357000691223,21.669025157232703,0.029307902849491564,19.197589098532493,0.00013102725366876308,118862,-0.32,0
10,1950-11-01,0.6358829170787155,31.36582809224319,11.539065798861367,0.7847919661550776,0.00031109636391184214,20.161163522012576,0.029156604311462726,19.18841719077568,0.00013102725366876308,119692,-0.6,0
11,1950-12-01,0.5957093836035449,29.19523060796645,11.474128547711846,0.8188379309727792,0.0002557269524273488,20.09525681341719,0.02469826464529098,17.700078616352197,0.00013102725366876308,111409,-0.88,0
12,1951-01-01,0.5652678071835899,26.86006289308176,12.482538021426999,0.8359561187069459,0.00017077552533889713,21.14583333333333,0.01843163034011546,16.009171907756812,0.00013102725366876308,102498,-0.92,0
13,1951-02-01,0.5659156946821148,25.09669811320755,13.713904026305586,0.843570354721672,0.00011297078062309143,22.83451257861635,0.01412087553532097,15.118448637316561,0.00013102725366876308,95769,-0.66,0
14,1951-03-01,0.5674035981473036,23.69496855345912,18.70366219714521,0.8563656353786783,8.560342466288544e-05,29.375655136268342,0.008384000065017973,14.374606918238996,0.00013102725366876308,90420,-0.04,0
15,1951-04-01,0.565942002825729,23.17269392033543,22.32251746366127,0.8521913520549257,7.958479623345889e-05,33.22300838574424,0.007090991671745913,14.07625786163522,0.00013102725366876308,88427,0.2,0
16,1951-05-01,0.5656696408162779,22.98506289308176,23.09230661400714,0.8491416788729373,7.70758356231254e-05,29.87513102725367,0.01129524442686241,13.953747379454924,0.00013102725366876308,87711,0.37,0
17,1951-06-01,0.5648090667035135,22.914832285115303,18.755395864051163,0.8454664276500107,7.714606089768141e-05,29.93016247379455,0.011053630257504105,13.939465408805034,0.00013102725366876308,87443,0.52,1
18,1951-07-01,0.5668195063037645,22.873689727463308,22.754199534229105,0.8442926312246882,7.756075072491753e-05,33.72615303983228,0.006933455078739179,13.908149895178196,0.00013102725366876308,87286,0.87,1
19,1951-08-01,0.5719516402417988,22.78825995807128,23.50123702364871,0.85063484687786,7.599861339988282e-05,35.88731656184486,0.0073485571648093705,13.971960167714885,0.00013102725366876308,86960,0.71,1
20,1951-09-01,0.5755731409457137,22.9958071278826,27.10911165342074,0.8488648872043736,7.75364090050165e-05,35.123427672955984,0.007966955267494863,14.045859538784065,0.00013102725366876308,87752,1.08,1
21,1951-10-01,0.5769858869810461,23.18422431865828,25.952181731693,0.8484433986305691,7.929292126515532e-05,32.20125786163522,0.008453341622992555,14.19929245283019,0.00013102725366876314,88471,1.19,1
22,1951-11-01,0.5745310785880839,23.050314465408807,23.902501677890612,0.8528905124719756,7.811778806092446e-05,32.462526205450736,0.008254963337375434,14.134827044025155,0.00013102725366876308,87960,1.19,1
23,1951-12-01,0.5695072802345482,23.116876310272538,24.71978677396375,0.848891910155216,7.813509732184441e-05,34.522536687631025,0.00678421762525905,14.072851153039831,0.00013102725366876308,88214,0.74,1
24,1952-01-01,0.5627356810077712,22.40487421383648,32.45577422391893,0.8547041941875151,7.351258903044341e-05,28.90199161425577,0.016768991009316645,13.592898322851156,0.00013102725366876308,85497,0.49,0
25,1952-02-01,0.5619505569018522,21.90985324947589,35.14838995304104,0.845120325193637,7.046985498431148e-05,35.009433962264154,0.01888346860428599,13.38784067085954,0.00013102725366876308,83608,0.37,0
26,1952-03-01,0.561744904292532,21.912735849056602,34.19839957532815,0.8477921826339285,7.061429469422143e-05,38.05411425576521,0.0181069386855638,13.309879454926625,0.00013102725366876308,83619,0.24,0
